date,value,classification,total_pnl,avg_pnl_per_trade,trade_count
2024-03-18,77,Extreme Greed,1456.9577,76.68198421052631,19
2024-03-19,79,Extreme Greed,668.797973,27.86658220833333,24
2024-03-20,74,Greed,6423.134599,93.08890723188406,69
2024-03-21,78,Extreme Greed,2335.5080749999997,83.41100267857142,28
2024-03-24,74,Greed,1297.018477,68.26413036842105,19
2024-03-25,75,Extreme Greed,1302.916428,186.13091828571427,7
2024-03-26,81,Extreme Greed,3215.906593,27.253445703389833,118
2024-03-27,83,Extreme Greed,150.41114,3.9581878947368416,38
2024-03-28,80,Extreme Greed,227.85100799999998,17.527000615384615,13
2024-03-29,79,Extreme Greed,883.097404,58.873160266666666,15
2024-03-30,75,Extreme Greed,1100.57514,24.45722533333333,45
2024-03-31,75,Extreme Greed,912.786145,70.21431884615384,13
2024-04-01,79,Extreme Greed,2507.963406,32.57095332467532,77
2024-04-02,79,Extreme Greed,883.760812,21.555141756097562,41
2024-04-03,71,Greed,126.7884,31.6971,4
2024-04-04,70,Greed,0.0,0.0,32
2024-04-05,79,Extreme Greed,10706.484306,107.06484306,100
2024-04-06,75,Extreme Greed,236.33513399999998,14.770945874999999,16
2024-04-07,78,Extreme Greed,0.0,0.0,23
2024-04-08,76,Extreme Greed,1218.4267,40.614223333333335,30
2024-04-09,80,Extreme Greed,0.0,0.0,3
2024-04-10,78,Extreme Greed,5207.443414,127.01081497560976,41
2024-04-11,76,Extreme Greed,389.743164,24.35894775,16
2024-04-12,79,Extreme Greed,-592.6458390000001,-4.594153790697676,129
2024-04-13,72,Greed,6621.451755,74.3983343258427,89
2024-04-14,72,Greed,-36104.012520000004,-337.4206777570094,107
2024-04-15,74,Greed,3774.08872,92.05094439024391,41
2024-04-16,65,Greed,2467.702221,52.504302574468085,47
2024-04-17,67,Greed,2441.4683999999997,174.39059999999998,14
2024-04-19,66,Greed,1946.4454620000001,55.61272748571429,35
2024-04-20,66,Greed,0.0,0.0,22
2024-04-22,73,Greed,0.0,0.0,9
2024-04-23,71,Greed,1119.536196,16.962669636363636,66
2024-04-24,72,Greed,279.185907,13.95929535,20
2024-04-25,72,Greed,0.0,0.0,74
2024-04-26,70,Greed,0.0,0.0,3
2024-04-27,67,Greed,4281.488139,158.57363477777778,27
2024-04-28,65,Greed,0.0,0.0,58
2024-04-29,67,Greed,526.9338359999999,11.709640799999999,45
2024-04-30,67,Greed,0.0,0.0,24
2024-05-01,54,Neutral,0.0,0.0,14
2024-05-03,48,Neutral,5306.017045,147.3893623611111,36
2024-05-04,67,Greed,0.0,0.0,9
2024-05-05,69,Greed,0.916,0.15266666666666667,6
2024-05-06,71,Greed,968.59038,107.62115333333333,9
2024-05-07,68,Greed,883.537693,49.08542738888889,18
2024-05-08,64,Greed,1.56576,0.12044307692307693,13
2024-05-09,55,Greed,1147.595856,40.985566285714285,28
2024-05-10,66,Greed,2101.741695,95.53371340909092,22
2024-05-11,53,Neutral,251.604742,27.956082444444444,9
2024-05-12,56,Greed,0.0,0.0,23
2024-05-13,57,Greed,2136.853859,76.31620925,28
2024-05-14,66,Greed,1150.5233050000002,50.02275239130436,23
2024-05-15,64,Greed,948.970582,26.360293944444447,36
2024-05-16,70,Greed,214.5898,7.94777037037037,27
2024-05-18,73,Greed,3522.3946610000003,140.89578644000002,25
2024-05-19,72,Greed,0.0,0.0,8
2024-05-20,70,Greed,-74.818442,-7.4818442,10
2024-05-21,76,Extreme Greed,7289.397571999999,58.31518057599999,125
2024-05-22,76,Extreme Greed,0.0,0.0,6
2024-05-23,76,Extreme Greed,413.347329,1.2718379353846154,325
2024-05-24,74,Greed,821.949278,410.974639,2
2024-05-25,76,Extreme Greed,14.126038999999999,0.8828774374999999,16
2024-05-26,75,Extreme Greed,778.6839,48.66774375,16
2024-05-27,74,Greed,1129.35587,4.499425776892431,251
2024-05-29,72,Greed,277.791953,1.6938533719512194,164
2024-05-30,73,Greed,20.951433,2.9930618571428576,7
2024-05-31,73,Greed,25.35812,1.9506246153846154,13
2024-06-01,72,Greed,91.510419,3.66041676,25
2024-06-02,73,Greed,192.906947,2.074268247311828,93
2024-06-03,73,Greed,562.808208,8.040117257142859,70
2024-06-04,73,Greed,52.211438,0.9851214716981133,53
2024-06-05,75,Extreme Greed,56.055506,1.038064925925926,54
2024-06-06,78,Extreme Greed,274.173187,1.1716802863247862,234
2024-06-07,77,Extreme Greed,8902.467416,20.23288049090909,440
2024-06-08,72,Greed,129.13883900000002,4.453063413793104,29
2024-06-09,75,Extreme Greed,0.0,0.0,17
2024-06-10,72,Greed,31.266804999999998,0.589939716981132,53
2024-06-11,74,Greed,4320.631811,35.12708789430894,123
2024-06-12,72,Greed,-21886.531493,-86.16744682283463,254
2024-06-13,70,Greed,6632.757115,83.95895082278481,79
2024-06-14,74,Greed,10258.592609,330.9223422258064,31
2024-06-15,74,Greed,3369.958346,43.20459417948718,78
2024-06-16,71,Greed,0.0,0.0,11
2024-06-17,71,Greed,10599.502375,278.9342730263158,38
2024-06-18,74,Greed,282.57636,11.3030544,25
2024-06-19,64,Greed,4887.656944,80.12552367213115,61
2024-06-20,60,Greed,57478.456026,1473.8065647692308,39
2024-06-21,63,Greed,773.5582039999999,9.66947755,80
2024-06-22,53,Neutral,756.876565,31.536523541666668,24
2024-06-23,55,Greed,0.0,0.0,5
2024-06-24,51,Neutral,0.0,0.0,31
2024-06-25,30,Fear,4869.353105,99.3745531632653,49
2024-06-26,46,Neutral,4197.732182,58.30183586111111,72
2024-06-27,40,Fear,0.0,0.0,30
2024-06-29,30,Fear,6150.326145,82.0043486,75
2024-06-30,47,Neutral,0.0,0.0,14
2024-07-01,53,Neutral,5065.839308,79.1537391875,64
2024-07-02,51,Neutral,2421.253116,134.514062,18
2024-07-03,50,Neutral,1118.387284,62.132626888888886,18
2024-07-04,44,Fear,0.0,0.0,25
2024-07-05,29,Fear,0.0,0.0,32
2024-07-06,26,Fear,108.87217799999999,4.53634075,24
2024-07-07,29,Fear,61.428942,6.1428942,10
2024-07-08,28,Fear,0.0,0.0,1
2024-07-09,27,Fear,648.984412,43.265627466666665,15
2024-07-10,28,Fear,11977.734907,213.88812333928573,56
2024-07-11,29,Fear,1876.812082,98.77958326315789,19
2024-07-12,25,Fear,1412.314654,74.33235021052631,19
2024-07-13,25,Fear,2913.617837,171.38928452941175,17
2024-07-14,33,Fear,0.0,0.0,7
2024-07-15,52,Neutral,-1.0,-0.038461538461538464,26
2024-07-16,65,Greed,0.0,0.0,22
2024-07-17,69,Greed,1859.269477,5.297064037037037,351
